"","Reef.index","Priority","New_CSIRO.region"
"572",572,"N","FN"
"573",573,"N","FN"
"574",574,"N","FN"
"575",575,"N","FN"
"576",576,"N","FN"
"577",577,"N","FN"
"578",578,"N","FN"
"579",579,"N","FN"
"580",580,"N","FN"
"581",581,"N","FN"
"582",582,"N","FN"
"583",583,"N","FN"
"584",584,"N","FN"
"585",585,"N","FN"
"586",586,"N","FN"
"587",587,"N","FN"
"588",588,"N","FN"
"589",589,"N","FN"
"590",590,"N","FN"
"591",591,"N","FN"
"592",592,"N","FN"
"593",593,"N","FN"
"594",594,"N","FN"
"595",595,"N","FN"
"596",596,"N","FN"
"597",597,"N","FN"
"598",598,"Y","FN"
"599",599,"N","FN"
"600",600,"N","FN"
"601",601,"N","FN"
"602",602,"N","FN"
"603",603,"N","FN"
"604",604,"Y","FN"
"605",605,"N","FN"
"606",606,"N","FN"
"607",607,"Y","FN"
"608",608,"N","FN"
"609",609,"N","FN"
"610",610,"Y","FN"
"611",611,"N","FN"
"612",612,"N","FN"
"613",613,"Y","FN"
"614",614,"N","FN"
"615",615,"N","FN"
"616",616,"N","FN"
"617",617,"N","FN"
"618",618,"N","FN"
"619",619,"N","FN"
"620",620,"N","FN"
"621",621,"N","FN"
"622",622,"N","FN"
"623",623,"N","FN"
"624",624,"N","FN"
"625",625,"N","FN"
"626",626,"Y","FN"
"627",627,"N","FN"
"628",628,"N","FN"
"629",629,"N","FN"
"630",630,"Y","FN"
"631",631,"N","FN"
"632",632,"N","FN"
"633",633,"Y","FN"
"634",634,"N","FN"
"635",635,"N","FN"
"636",636,"Y","FN"
"637",637,"N","FN"
"638",638,"N","FN"
"639",639,"N","FN"
"640",640,"N","FN"
"641",641,"N","FN"
"642",642,"N","FN"
"643",643,"N","FN"
"644",644,"N","FN"
"645",645,"N","FN"
"646",646,"N","FN"
"647",647,"Y","FN"
"648",648,"Y","FN"
"649",649,"N","FN"
"650",650,"Y","FN"
"651",651,"N","FN"
"652",652,"N","FN"
"653",653,"N","FN"
"654",654,"N","FN"
"655",655,"N","FN"
"656",656,"N","FN"
"657",657,"N","FN"
"658",658,"N","FN"
"659",659,"N","FN"
"660",660,"Y","FN"
"661",661,"N","FN"
"662",662,"N","FN"
"663",663,"N","FN"
"664",664,"N","FN"
"665",665,"N","FN"
"666",666,"N","FN"
"667",667,"N","FN"
"668",668,"N","FN"
"669",669,"N","FN"
"670",670,"N","FN"
"671",671,"N","FN"
"672",672,"N","FN"
"673",673,"N","FN"
"674",674,"N","FN"
"675",675,"N","FN"
"676",676,"Y","FN"
"677",677,"N","FN"
"678",678,"N","FN"
"679",679,"N","FN"
"680",680,"N","FN"
"681",681,"Y","FN"
"682",682,"N","FN"
"683",683,"N","FN"
"684",684,"N","C"
"685",685,"N","C"
"686",686,"N","C"
"687",687,"N","C"
"688",688,"Y","C"
"689",689,"Y","N"
"690",690,"Y","N"
"691",691,"N","N"
"692",692,"N","N"
"693",693,"Y","N"
"694",694,"Y","N"
"695",695,"Y","C"
"696",696,"N","C"
"697",697,"Y","C"
"698",698,"Y","C"
"699",699,"N","C"
"700",700,"N","C"
"701",701,"N","C"
"702",702,"N","C"
"703",703,"Y","C"
"704",704,"Y","C"
"705",705,"Y","C"
"706",706,"N","C"
"707",707,"N","C"
"708",708,"N","C"
"709",709,"Y","N"
"710",710,"Y","N"
"711",711,"N","N"
"712",712,"Y","N"
"713",713,"N","C"
"714",714,"N","C"
